name,lat,lon,population
Elig-Mfomo,4.160359,11.351969,22000
Yoko,5.540681,12.318634,22000
Messondo,3.694709,10.451173,22000
Pouma,3.854626,10.525192,22000
Doumé,4.240062,13.452971,22000
Mbang,3.969228,14.268,22000
Bandja,5.264994,10.228846,22000
Bembon,3.414345,14.545893,22000
Mbol II,3.445384,14.626805,22000
Bayangam,5.297665,10.464163,22000
Mayo-Oulo,9.965942,13.616433,22000
Ngog-Mapubi,3.947143,10.837785,22000
Dibang,3.998413,10.718878,22000
Awaé,3.89961,11.883424,22000
Ombessa,4.603044,11.256546,22000
Massangam,5.425851,11.001855,22000
Mboma,4.211235,12.915687,22000
Kétté,4.895989,14.543235,22000
Bangou,5.249738,10.396717,22000
Bandjoun,5.374857,10.412155,22000
Benakuma,6.413533,9.917302,22000
Ngoumou,3.593432,11.304257,22000
Baleng,5.517309,10.410089,22000
Messamena,3.736949,12.829845,22000
Akoéman,3.19166,11.573444,22000
Bankim,6.082783,11.487415,22000
Fundong,6.280281,10.284089,22000
Angossas,4.07632,12.98863,22000
Mbalam,2.223568,13.816016,22000
Tiko,4.075571,9.365019,22000
Sa'a,4.361454,11.4399,22000
Mbangassina,4.555731,11.39202,22000
Ndoukoula,10.274777,14.028057,22000
Massok,4.133005,10.46911,22000
Ngambe,4.229405,10.621202,22000
Nyanon,4.265271,10.953688,22000
Nitoukou,4.639382,10.868692,22000
Bot-Makak,4.011256,10.936749,22000
Logbadjek,3.975018,10.102675,22000
Mouanko,3.640839,9.794041,22000
Yingui,4.528067,10.29402,22000
Bakou,5.076418,10.182266,22000
Oveng,2.421027,12.260139,22000
Olamzé,2.211514,11.090763,22000
Akom II,2.81329,10.544307,22000
Dzeng,3.76166,11.887987,22000
Boumnyébel,3.883887,10.849278,22000
Minta,4.560353,12.8282,22000
Diang,4.580129,13.355282,22000
Nsem,4.892869,12.937806,22000
Doumaintang,4.340381,13.103568,22000
Kobdombo,4.028951,12.730521,22000
Atok,4.007567,12.779177,22000
Ma'an,2.371599,10.629246,22000
Endom,4.09983,12.537392,22000
Ngomedzap,3.332515,11.921307,22000
Bokito,4.573829,11.116437,22000
Demsa,9.546363,13.22596,22000
Touroua,9.08114,12.973747,22000
Barndaké,9.34508,12.973837,22000
Tokombéré,10.86905,14.143651,22000
Meri,10.773131,14.120398,22000
Kai-Kai,10.666759,15.028457,22000
Biwong-Bulu,2.872588,11.075456,22000
Ombe,4.081483,9.290463,22000
Efoulan,2.861168,11.023799,22000
Fifinda I,3.2292,10.026236,22000
Londji,3.083072,9.97372,22000
Meyo Biboulou,2.188644,11.006054,22000
Ngovayang I,3.215325,10.604406,22000
Nyangong,2.967118,10.755483,22000
Ondong Adjap,3.139813,10.849171,22000
Ekité,3.803563,10.08678,22000
Makondo,3.759763,10.26365,22000
Manoka,3.861247,9.623577,22000
Élogbatindi,3.440091,10.127957,22000
Assié,3.344092,11.303295,22000
Emvane,3.696016,12.577614,22000
Mbanga,3.615925,11.750772,22000
Oveng,2.985779,11.677194,22000
Awing,5.840115,10.252833,22000
Bamougoum,5.510266,10.349979,22000
Bangourain,5.90416,10.660262,22000
Essu,6.575384,10.0886,22000
Kouoptamo,5.655727,10.612239,22000
Ngambé Tikar,5.787643,11.494306,22000
Njimom,5.834125,10.958833,22000
Bassamba,5.052988,10.567979,22000
Lolodorf,3.234075,10.727964,22000
Boubara,4.710676,14.595005,22000
Lolo,4.280724,14.903903,22000
Mbilé,4.327224,14.839422,22000
Mindourou II,4.119445,14.57339,22000
Dir,6.311201,14.348684,22000
Djohong,6.836363,14.692131,22000
Gbatoua,6.314958,14.720991,22000
Ndokayo,5.515774,14.123553,22000
Ngoura,4.877725,14.243757,22000
Toktoyo,5.196344,14.661669,22000
Banwa,5.102118,10.071643,22000
Kompina,4.352109,9.582535,22000
Ndobian ( Nord-Makombé),4.990348,10.337769,22000
Baréko (Baré-Bakem),5.019526,9.965224,22000
Ebebda,4.339958,11.283478,22000
Ndikoko,4.694157,10.829516,22000
Bélel,7.05067,14.435865,22000
Mbé,7.858707,13.593762,22000
Nganha,7.435786,13.928681,22000
Bangou Carrefour,5.178609,10.383852,22000
Bibey,4.868784,12.812248,22000
Bélabo,4.920303,13.290971,22000
Somalomo,3.384445,12.736831,22000
Mundemba,4.969004,8.909376,22000
Ndaba,11.240661,13.948285,22000
Soulèdé,10.756041,13.9104,22000
Dargala,10.52814,14.605617,22000
Béka,9.047665,12.901219,22000
Foulou,10.306814,14.281571,22000
Gawel,10.410116,14.099921,22000
Noubou,10.324951,14.119132,22000
Titing,10.175955,14.057965,22000
Biyouha,3.818606,10.741788,22000
Mbaiboum,7.543889,15.449093,22000
Olanguina,3.966373,12.017993,22000
Nguibassal,4.065698,11.056658,22000
Mamfé,5.752772,9.315211,22000
Assighassia,11.135683,13.883007,22000
Djondong,10.102211,15.191546,22000
Dziguilao,10.01067,14.78393,22000
Guémé,10.501264,15.18851,22000
Guere,10.026649,15.255631,22000
Salak,10.451401,14.237963,22000
Taibong,10.009179,14.784077,22000
Tchatibali,10.050101,14.923925,22000
Ngaoui,6.742069,14.953291,22000
Yamba,7.107468,15.205765,22000
Blangoua بلانقوا,12.773992,14.552463,22000
Yarbang,7.012847,14.961675,22000
Ouli,5.200435,14.55163,22000
Dompta,7.25887,15.11162,22000
Gor,8.651417,14.996711,22000
Guidjiba,8.476441,13.733921,22000
Madingrin_1,8.452083,15.004305,22000
Mayo Djarendji,8.375327,14.786351,22000
Mbang,7.165044,14.476134,22000
Rey Bouba,8.671202,14.176807,22000
Roua,10.778733,13.99082,22000
Sorawel,9.784314,13.86403,22000
Ekondo-Titi,4.600943,9.038286,22000
Gbitti,4.700172,14.70745,22000
Mvangan,2.656346,11.740054,22000
Salapoumbé,2.616501,15.380862,22000
Dibombari,4.178504,9.65579,22000
Mombo,4.571741,9.587009,22000
Niété,2.715267,10.057081,22000
Akwaya,6.378907,9.51034,22000
Furu Awa,6.917755,10.190211,22000
Kolofata,11.16183,14.013534,22000
Bikok,3.625193,11.446641,22000
Ekoudendi,3.420352,11.27407,22000
Evindissi,3.437054,11.399789,22000
Nguelemendouka,4.391508,12.923465,22000
Babessi,6.033808,10.579231,22000
Fokoué,5.366363,10.124024,22000
Banka,5.164096,10.197267,22000
Nanga-Eboko,4.666593,12.373081,22000
Nkoteng,4.50469,12.118712,22000
Widekum,5.86348,9.76844,22000
Bétaré-Oya,5.58849,14.086355,22000
Dimako,4.378608,13.577979,22000
Evodoula,4.092796,11.199169,22000
Ngoyla,2.629355,14.024137,22000
Messock,3.08541,14.073204,22000
Ebone,4.879059,9.894176,22000
Edzendouan,4.192888,11.748975,22000
Kon-Yambetta,4.835015,11.056225,22000
Kiiki,4.681901,11.177507,22000
Ndikiniméki,4.758375,10.828457,22000
Galim,5.690986,10.366213,22000
Fontem,5.488524,9.855662,22000
Koutaba,5.651146,10.760917,22000
Hinalé,11.586038,14.993634,22000
Bengbis,3.444016,12.446328,22000
Mbankomo,3.787907,11.402403,22000
Guiwa Yangamo,4.978531,14.042877,22000
Borgop,6.927681,14.818352,22000
Koza,10.868166,13.881488,22000
Mozogo,10.962638,13.904533,22000
Batibo,5.83606,9.887455,22000
Timangolo,4.627231,14.54446,22000
Meyomessala,3.107781,12.244903,22000
Biwong-Bane,3.127292,11.147444,22000
Zoétélé,3.250705,11.886517,22000
Kyé-Ossi,2.185331,11.337341,22000
Otélé,3.591268,11.244386,22000
Colomine,4.999253,14.372226,22000
Tcheboa,9.02822,13.1838,22000
Darak,12.877676,14.296977,22000
Gobo,10.00019,15.418775,22000
Wina,10.09867,15.189736,22000
Kar-Hay,10.11654,14.971217,22000
Gogoleme,11.304859,14.410616,22000
Ngong,9.024352,13.509681,22000
Mada,12.634899,14.470411,22000
Zimado,11.66736,15.073468,22000
Bourgouma,11.897977,15.036836,22000
Oulouf,12.037474,14.919262,22000
Gara,10.249099,13.909582,22000
Kumbo Town,6.203514,10.687516,22000
Afanloum,4.090644,12.036724,22000
Endom,3.504319,12.098973,22000
Souza,4.231763,9.613252,22000
Nkondjock,4.863191,10.241495,22000
Ndom,4.508062,10.83518,22000
Nkong-Zem,5.498214,10.126283,22000
Demdeng (Djebem),5.329209,10.465121,22000
Camp de réfugiés de Minawao,10.553191,13.863287,22000
Nyen,6.014934,9.976298,22000
Nkô,3.773305,12.52759,22000
Toko,5.045162,9.134445,22000
Baham,5.334612,10.368438,19680
Akwomse,6.885708,10.795821,2500
Ndende II,4.370321,14.725875,2500
Ndongo,4.01914,10.839583,2500
Mhomendjok,4.681719,12.689331,2500
Ntouessong IV,3.922084,11.608227,2500
Quartier Latin,4.604357,11.260987,2500
Ouro_bocki,10.4271,13.8782,2500
Ekombe Liongo,4.500305,9.103557,2500
Mounrigachiri,12.480323,14.342725,2500
Kpangalakonga,4.066713,15.085342,2500
Mbaka,3.92294,12.231891,2500
Abang II,3.578141,11.282846,2500
Binyina,3.015306,10.878738,2500
Bikale_gada_mayo,9.53998,13.95577,2500
Mayo Ketchel,9.195347,14.30231,2500
Ekoutou,3.550365,12.510027,2500
