name,lat,lon,region,division,subdivision
Centre Médical d'Arrondissement de Bépanda,4.059441,9.727401,Littoral,Wouri,Douala V
Centre Médical d'Arrondissement de Congo,4.041501,9.705344,Littoral,Wouri,Douala I
Centre Médical d'Arrondissement de Nkomo,3.84363,11.551281,Centre,Mfoundi,YaoundÃ© IV
Centre Médical d'Arrondissement de Nkong-Ni,5.493629,10.151171,West,Menoua,Nkong-Zem
Centre Médical d'Arrondissement de Somalomo,3.389262,12.73558,East,Haut-Nyong,Somalomo
Centre Médical d'Arrondissement Étoa,3.78373,11.478105,Centre,Mfoundi,YaoundÃ© III
Centre Médical de Bessengué,4.058556,9.710821,Littoral,Wouri,Douala I
Centre Médical de Founangué,10.600566,14.335834,Far North,Diamare,Maroua II
Centre Médical de Nkapa (PROFAM),4.221094,9.606166,Littoral,Moungo,Dibombari
Centre Médical de Santé,3.885982,11.559109,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Médical de l'Hippodrome,3.870237,11.52051,Centre,Mfoundi,YaoundÃ© I
Centre Médical de la Gendarmerie de Mboppi,4.043357,9.716221,Littoral,Wouri,Douala III
Centre Médical de la Miséricorde Divine,3.776331,11.549215,Centre,Mfoundi,Nkolafamba
Centre Médical du RASS,4.966695,9.935199,Littoral,Moungo,Nkongsamba II
Centre Médical d’Arrondissement d’Elig-Essono,3.870012,11.524636,Centre,Mfoundi,YaoundÃ© I
Centre Médical la Cathédrale,3.883783,11.534661,Centre,Mfoundi,YaoundÃ© V
Centre Médical la Fraternité,3.884248,11.465042,Centre,Lekie,YaoundÃ© VII
Centre Médical la Solidarité,4.015458,9.746831,Littoral,Wouri,Douala III
Centre Médical privé islamique,3.876664,11.506711,Centre,Mfoundi,YaoundÃ© II
Centre Médicale Hôtel Dieu,2.953547,9.911642,South,Ocean,Kribi II
Centre Médicall st Alexandre,3.7854,11.397118,Centre,Mefou-et-Akono,Mbankomo
Centre Médico Chirurgical D'essos,3.877622,11.546234,Centre,Mfoundi,YaoundÃ© V
Centre Médico Chirurgical De L'espoir,3.873124,11.535946,Centre,Mfoundi,YaoundÃ© V
Centre Médico Sanitaire De L'espoir,3.881575,11.557269,Centre,Mfoundi,YaoundÃ© V
Centre Médico Social,3.846883,11.525468,Centre,Mfoundi,YaoundÃ© IV
Centre Médico Social La Paix,4.095448,9.752237,Littoral,Wouri,Douala V
Centre Médico Social français,3.857006,11.517583,Centre,Mfoundi,YaoundÃ© III
Centre Médico-Chirurgical Queen Mary,3.840974,11.495475,Centre,Mfoundi,YaoundÃ© III
Centre Médico-social Vermeille,3.884171,11.556567,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre National d'Optometrie,3.872481,11.454838,Centre,Lekie,YaoundÃ© VII
Centre Neuro-Psychiatrique Sainte Jeanne,4.078712,9.743654,Littoral,Wouri,Douala V
Centre Neurologique et Médical,3.829238,11.498869,Centre,Mfoundi,YaoundÃ© III
Centre Nutritionnel,3.868463,11.567934,Centre,Mfoundi,YaoundÃ© IV
Centre Nutritionnel Ambulatoire de Lopéré,10.610109,14.325607,Far North,Diamare,Maroua II
Centre Sante Integre Kota-Liddire,9.302804,13.40463,North,Benoue,Garoua II
Centre Santé,3.873994,11.538002,Centre,Mfoundi,YaoundÃ© V
Centre Se Sante Grace Divine,3.90137,11.563825,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre Thérapeutique Nature & Vie sans Frontières,12.075487,15.032446,Far North,Logone-Et-Chari,KoussÃ©ri
Centre bde Santé de Guydouar,10.572206,15.087637,Far North,Mayo-Danay,Kai-Kai
Centre cabinet de soins Elim,4.04948,9.774623,Littoral,Wouri,Douala III
Centre d'accueil AGOJFIDA,3.843307,11.462445,Centre,Mfoundi,YaoundÃ© VI
Centre d'imagerie médicale,3.836391,11.488872,Centre,Mfoundi,YaoundÃ© VI
Centre de District de Bangais,4.094788,9.765033,Littoral,Wouri,Douala V
Centre de Medecine Traditiouinelle Chinouiise,7.294954,13.575802,Adamaoua,Vina,NgaoundÃ©rÃ© I
Centre de Médicine Chinoise,3.879604,11.491844,Centre,Lekie,YaoundÃ© II
Centre de Pneumo Physiologie,4.049964,9.704102,Littoral,Wouri,Douala I
Centre de Radiologie et d'Imagerie Medicale de l'Ouest,5.455667,10.42978,West,Koung-Khi,Bafoussam I
Centre de Sante Catholique de Ndelele,4.042239,14.930819,East,Kadei,NdÃ©lÃ©lÃ©
Centre de Sante Espoir Communautaire,4.745583,11.227151,Centre,Mbam-et-Inoubou,Bafia
Centre de Sante Gisaprof,3.931342,11.544285,Centre,Lekie,YaoundÃ© V
Centre de Sante Gromes garage,4.071558,9.674212,Littoral,Wouri,Douala IV
Centre de Sante Integre Catholique De Bamyanga Marza,7.288252,13.57384,Adamaoua,Vina,NgaoundÃ©rÃ© I
Centre de Sante Integre Urbain d'Ambam,2.401721,11.266725,South,Vallee-du-Ntem,Ambam
Centre de Sante Integre de Babanguel I,9.604072,13.712419,North,Benoue,Guider
Centre de Sante Integre de Badjouma Centre,9.396989,13.655791,North,Benoue,Pitoa
Centre de Sante Integre de Badjouma Radier,9.457856,13.638106,North,Benoue,Pitoa
Centre de Sante Integre de Nassarao,9.368608,13.443743,North,Benoue,Garoua II
Centre de Sante Integre de Nguebake,9.370754,13.540693,North,Benoue,Pitoa
Centre de Sante Integre de Nkoldjobe,3.963203,11.360885,Centre,Lekie,Okala
Centre de Sante Integre de Ntuissong,4.014714,11.322482,Centre,Lekie,Okala
Centre de Sante Integre de Ntuissong,4.042079,11.318285,Centre,Lekie,Okala
Centre de Sante Integre de Ouro Bocki,9.48356,13.547912,North,Benoue,Pitoa
Centre de Sante Intergre de Fegmimbang,4.044083,11.190719,Centre,Lekie,Okala
Centre de Sante Intergre de Nyemeyon,4.042966,11.246953,Centre,Lekie,Okala
Centre de Sante Intergre de Song-Onana,4.06418,11.307436,Centre,Lekie,Okala
Centre de Sante Intergre de VOA II,4.020039,11.218951,Centre,Lekie,Okala
Centre de Sante Islamique,5.483186,10.439387,West,Mifi,Bafoussam I
Centre de Sante Langui refugee,9.345598,13.580438,North,Benoue,Pitoa
Centre de Sante Privee Islamique Lamido Hayatou,7.3215,13.5881,Adamaoua,Vina,NgaoundÃ©rÃ© II
Centre de Sante Yves Plumet De Marza,7.272087,13.583555,Adamaoua,Vina,NgaoundÃ©rÃ© I
Centre de Sante de Be,9.308196,13.664236,North,Benoue,Pitoa
Centre de Sante de Konabeng,4.077025,11.338182,Centre,Lekie,Okala
Centre de Sante de Yassa,4.00182,9.804715,Littoral,Wouri,Douala III
Centre de Sante integre de Mvoua,4.059897,11.430001,Centre,Lekie,Okala
Centre de Sante integre de langui Social,9.334163,13.602383,North,Benoue,Pitoa
Centre de Sante le Compassion de Boko,3.994822,9.763231,Littoral,Wouri,Douala III
Centre de Santel de Douloumie,9.206889,13.654326,North,Benoue,Bibemi
Centre de Santé,4.075306,9.679892,Littoral,Wouri,Douala IV
Centre de Santé,4.029975,9.706642,Littoral,Wouri,Douala II
Centre de Santé,4.03017,9.699435,Littoral,Wouri,Douala I
Centre de Santé,4.04473,9.71385,Littoral,Wouri,Douala III
Centre de Santé,4.076835,9.679592,Littoral,Wouri,Douala IV
Centre de Santé,4.08007,9.658542,Littoral,Wouri,Douala IV
Centre de Santé,4.086391,9.653931,Littoral,Wouri,Douala IV
Centre de Santé,4.087095,9.665964,Littoral,Wouri,Douala IV
Centre de Santé,3.875463,11.509168,Centre,Mfoundi,YaoundÃ© II
Centre de Santé,3.933638,11.554381,Centre,Mefou-et-Afamba,YaoundÃ© I
Centre de Santé,3.873631,11.503463,Centre,Mfoundi,YaoundÃ© II
Centre de Santé,3.875707,11.503692,Centre,Mfoundi,YaoundÃ© II
Centre de Santé,3.878456,11.567618,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre de Santé,3.865486,11.534439,Centre,Mfoundi,YaoundÃ© V
Centre de Santé,3.865995,11.540095,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.869987,11.546749,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.866031,11.546231,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.870902,11.541588,Centre,Mfoundi,YaoundÃ© V
Centre de Santé,3.87088,11.553257,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.868773,11.553166,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.864416,11.538585,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.858469,11.548603,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.860824,11.55421,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.85996,11.54437,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.858384,11.482551,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.861189,11.538416,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.862901,11.545733,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.85677,11.528598,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.852006,11.533872,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.841218,11.476946,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.850984,11.555042,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.845128,11.547223,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.854191,11.539947,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.845249,11.482867,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.846618,11.481392,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.849108,11.563639,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.846016,11.522004,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.849073,11.546647,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.847594,11.482033,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.844816,11.477903,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.845401,11.479463,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé,3.840428,11.532488,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.840396,11.541992,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.837433,11.559722,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.832044,11.543328,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.831283,11.540244,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.83271,11.533926,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.834176,11.532834,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.826804,11.537229,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.826095,11.550074,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.82669,11.522589,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.812057,11.53124,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.816858,11.542357,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.801094,11.53565,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.804728,11.531117,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.795131,11.523129,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,3.762255,11.474314,Centre,Mfoundi,YaoundÃ© III
Centre de Santé,3.859587,11.560442,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé,4.068424,9.724988,Littoral,Wouri,Douala V
Centre de Santé,4.002366,9.74838,Littoral,Wouri,Douala III
Centre de Santé,5.604547,10.281243,West,Bamboutos,Mbouda
Centre de Santé,10.841645,14.947885,Far North,Mayo-Danay,Maga
"Centre de Santé ""Le Polyvalent""",3.836742,11.473016,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé ACASSANA,3.526527,11.314366,Centre,Mefou-et-Akono,Akono
Centre de Santé Ambulatoire,3.868063,11.486316,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Ambulatoire,3.84645,11.486334,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Ange Raphaël,3.795004,11.457271,Centre,Mfoundi,Mbankomo
Centre de Santé Aprosap Bonaberi,4.071024,9.670581,Littoral,Wouri,Douala IV
Centre de Santé Bethesda,3.895069,11.542021,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre de Santé Bon Secours,4.748357,11.234625,Centre,Mbam-et-Inoubou,Bafia
Centre de Santé Catholique,3.82977,11.546333,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Catholique Deo Gratias Douala-Boko,3.990473,9.773681,Littoral,Wouri,Douala III
Centre de Santé Catholique Intégré Notre Dame de Compassion d'Elig Mfomo,4.157969,11.347139,Centre,Lekie,Elig-Mfomo
Centre de Santé Catholique Nicolas Barre,3.844603,11.529297,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Catholique de Batouri,4.430197,14.365021,East,Kadei,Batouri
Centre de Santé Catholique de Bikop,3.528594,11.415508,Centre,Mefou-et-Akono,Bikok
Centre de Santé Cité SIC,4.051434,9.73101,Littoral,Wouri,Douala V
Centre de Santé Communal,3.861091,11.478856,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Communautaire,3.832316,11.541265,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Développé,3.860733,11.478139,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Espoir de Ndobo,4.101452,9.634813,Littoral,Wouri,Douala IV
Centre de Santé Integre de Bangana,10.207875,15.323813,Far North,Mayo-Danay,GuÃ©rÃ©
Centre de Santé Integre de Dana,10.240557,15.290134,Far North,Mayo-Danay,Yagoua
Centre de Santé Integre de Danigue,10.15138,15.370968,Far North,Mayo-Danay,Gobo
Centre de Santé Integre de Doreissou,10.555018,15.139511,Far North,Mayo-Danay,Kai-Kai
Centre de Santé Integre de Guirvidig,10.875901,14.824124,Far North,Mayo-Danay,Maga
Centre de Santé Integre de Massa Koudweita,10.10753,15.478903,Far North,Mayo-Danay,Gobo
Centre de Santé Integré,3.868327,11.568406,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Intègre Catholique de Nkomotou,4.041724,11.546326,Centre,Lekie,Obala
Centre de Santé Intègre de Ntouessong I,3.722392,11.450655,Centre,Mefou-et-Akono,YaoundÃ© III
Centre de Santé Intégré,3.782645,11.525574,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Intégré,5.45314,10.409477,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré - CSI,10.581183,14.265355,Far North,Diamare,Maroua I
Centre de Santé Intégré Bonago,4.038429,9.683527,Littoral,Wouri,Douala I
Centre de Santé Intégré Catholique Saint Jacques de Minkama,4.173821,11.541189,Centre,Lekie,Obala
Centre de Santé Intégré Catholique Saint Paul de Monabo,4.227876,11.268549,Centre,Lekie,MonatÃ©lÃ©
Centre de Santé Intégré Catholique de Nkol Mebanga,4.400174,11.415853,Centre,Lekie,Sa'a
Centre de Santé Intégré Catholique de Saint Martin d'Emana,4.266431,11.343689,Centre,Lekie,MonatÃ©lÃ©
Centre de Santé Intégré Melong Centre,5.107051,9.939204,Littoral,Moungo,MÃ©long
Centre de Santé Intégré Moïse & Elisabeth,3.821188,11.521815,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Intégré Sainte Marie,3.81786,11.523876,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Intégré Urbain de Kousseri,12.064695,15.049739,Far North,Logone-Et-Chari,KoussÃ©ri
Centre de Santé Intégré de Bamendzi III,5.480268,10.457482,West,Mifi,Bafoussam I
Centre de Santé Intégré de Batoukop,5.481676,10.484303,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré de Bekoko,4.114965,9.579452,Littoral,Moungo,Dibombari
Centre de Santé Intégré de Demgoug,5.472559,10.451948,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré de Demsiem,5.461519,10.461623,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré de Grand Mengue,4.935886,12.764397,Centre,Haute-Sanaga,Nanga-Eboko
Centre de Santé Intégré de Mfou,3.720338,11.642066,Centre,Mefou-et-Afamba,Mfou
Centre de Santé Intégré de Ndiembou-Kam,5.440552,10.451261,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré de Nkog-Mbog,4.24156,11.342011,Centre,Lekie,MonatÃ©lÃ©
Centre de Santé Intégré de Nkol Vak,4.307288,11.526229,Centre,Lekie,Sa'a
Centre de Santé Intégré de Nkolbisson,3.876552,11.445797,Centre,Lekie,YaoundÃ© VII
Centre de Santé Intégré de Salapoumbé,2.60082,15.388477,East,Boumba-Et-Ngoko,SalapoumbÃ©
Centre de Santé Intégré de Tignère,7.376193,12.649322,Adamaoua,Faro-et-Deo,TignÃ¨re
Centre de Santé Intégré de Tomdjo,5.487975,10.512102,West,Koung-Khi,Bafoussam I
Centre de Santé Intégré de Wouro tchédé,10.580678,14.282462,Far North,Diamare,Maroua I
Centre de Santé Intégré de Yagoua,10.350979,15.237196,Far North,Mayo-Danay,Yagoua
Centre de Santé Intégré de kodek,10.663802,14.416067,Far North,Diamare,Maroua III
Centre de Santé Intégré domayo,10.593655,14.308969,Far North,Diamare,Maroua I
Centre de Santé Intégrée de Amchediré,12.061941,15.025347,Far North,Logone-Et-Chari,KoussÃ©ri
Centre de Santé Intégrée de MAKABAYE,10.574239,14.301267,Far North,Diamare,Maroua I
Centre de Santé Intégrée de Makabaye,10.57594,14.300257,Far North,Diamare,Maroua I
Centre de Santé Intégrée de Mokolo 1,4.578556,13.685129,East,Lom-Et-Djerem,Bertoua II
Centre de Santé Intégrée de PALAR,10.602285,14.281219,Far North,Diamare,Maroua I
Centre de Santé Intégrée de PARPAR,12.07258,15.03116,Far North,Logone-Et-Chari,KoussÃ©ri
Centre de Santé Intégrée de ZOKOK,10.603014,14.314414,Far North,Diamare,Maroua I
Centre de Santé Islamique,5.483298,10.439381,West,Mifi,Bafoussam I
Centre de Santé LAP,3.978985,11.600162,Centre,Mefou-et-Afamba,Soa
Centre de Santé La Passion,3.998202,9.765593,Littoral,Wouri,Douala III
Centre de Santé La Perfection,3.889317,11.452752,Centre,Lekie,YaoundÃ© VII
Centre de Santé La Persévérance,3.979155,9.767805,Littoral,Wouri,Douala III
Centre de Santé La Pitié,4.070226,9.668899,Littoral,Wouri,Douala IV
Centre de Santé Le Bistouri,3.889827,11.492391,Centre,Lekie,YaoundÃ© II
Centre de Santé Le Flambeau,4.068081,9.731059,Littoral,Wouri,Douala V
Centre de Santé Lumiére,3.836469,11.485746,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Médicalisé de Bonendale,4.112467,9.647543,Littoral,Wouri,Douala IV
Centre de Santé Ngom Passam,5.472375,10.426863,West,Mifi,Bafoussam I
Centre de Santé Pilote Social Odzon,3.87873,11.421513,Centre,Lekie,YaoundÃ© VII
Centre de Santé Polyvalent de Boko,3.992964,9.762821,Littoral,Wouri,Douala III
Centre de Santé Privé de DEKOMBA,3.58686,11.30482,Centre,Mefou-et-Akono,Ngoumou
Centre de Santé Province De Koudandeng,4.097487,11.483048,Centre,Lekie,Obala
Centre de Santé Qhu;Centre Medico Social Quality Heathcare Unit,3.880232,11.450983,Centre,Lekie,YaoundÃ© VII
Centre de Santé Rita,3.820069,11.533111,Centre,Mfoundi,YaoundÃ© IV
Centre de Santé Saint Etienne,3.833744,11.48416,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Saint Raphaël,3.842978,11.477375,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Sainte-Thérèse de l'Enfant Jésus;Hopital Sainte Therese De L'enfant Jesus,3.863566,11.447704,Centre,Mfoundi,YaoundÃ© VII
Centre de Santé Shlam humanitarian center for global services,3.835663,11.457255,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé Ste Marie de Nkometou I,4.056691,11.550591,Centre,Lekie,Soa
Centre de Santé Tehak Helen,3.897135,11.523793,Centre,Lekie,YaoundÃ© I
Centre de Santé communal,3.8265,11.471438,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé d'Etoud Ayos,4.108358,11.402575,Centre,Lekie,Elig-Mfomo
Centre de Santé de Base,3.864287,11.489086,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé de Batchio syndicat,5.569958,10.157037,West,Bamboutos,Batcham
Centre de Santé de Blaloum,10.426171,15.257054,Far North,Mayo-Danay,Yagoua
Centre de Santé de Bougay,10.256462,15.10855,Far North,Mayo-Danay,Kalfou
Centre de Santé de District de Ngoumou,3.504279,11.330519,Centre,Mefou-et-Akono,Akono
Centre de Santé de Djafka,10.607487,15.147781,Far North,Mayo-Danay,Kai-Kai
Centre de Santé de Dougui,10.662915,15.129827,Far North,Mayo-Danay,Kai-Kai
Centre de Santé de Fegminbang,3.554533,11.325309,Centre,Mefou-et-Akono,Akono
Centre de Santé de Fondjomekwet,5.28624,10.167447,West,Haut-Nkam,Bandja
Centre de Santé de Gabaraye,10.478682,15.10705,Far North,Mayo-Danay,GuÃ©mÃ©
Centre de Santé de Gobio,10.380259,14.996078,Far North,Mayo-Danay,Kalfou
Centre de Santé de Guinane,10.192368,15.096389,Far North,Mayo-Danay,Kalfou
Centre de Santé de Guinane,10.190952,15.09404,Far North,Mayo-Danay,Kalfou
Centre de Santé de Japoma,4.032822,9.805199,Littoral,Wouri,Douala III
Centre de Santé de Nylon Dibom II,4.014074,9.747696,Littoral,Wouri,Douala III
Centre de Santé de Ouassa Bamvele,4.888371,12.605487,Centre,Haute-Sanaga,Nanga-Eboko
Centre de Santé de Pouss,10.845801,15.057362,Far North,Mayo-Danay,Maga
Centre de Santé de Vele,10.501244,15.189597,Far North,Mayo-Danay,GuÃ©mÃ©
Centre de Santé des Soeurs,5.652133,10.613397,West,Noun,Kouoptamo
Centre de Santé et Maternité Sainte Thérèse,4.056206,9.774138,Littoral,Wouri,Douala V
Centre de Santé humanitaire de Batoukop,5.474321,10.476509,West,Koung-Khi,Bafoussam I
Centre de Santé intégré de Kolléré,9.303463,13.388406,North,Benoue,Garoua I
Centre de Santé la Grâce de Dieu,3.952678,11.520924,Centre,Lekie,YaoundÃ© I
Centre de Santé la Protection,3.900775,11.55105,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre de Santé la Prudence,5.457966,10.438125,West,Koung-Khi,Bafoussam I
Centre de Santé le Polyvalent,3.831069,11.471845,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé les Glycines,4.030621,9.7118,Littoral,Wouri,Douala II
Centre de Santé les Pelercus,3.881583,11.464785,Centre,Lekie,YaoundÃ© VII
Centre de Santé les merveilles,3.825156,11.469104,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé maman Diana,3.844332,11.463899,Centre,Mfoundi,YaoundÃ© VI
Centre de Santé sainte marie mère de dieu,3.860039,11.593556,Centre,Mefou-et-Afamba,Nkolafamba
Centre de Soin,12.075118,15.0256,Far North,Logone-Et-Chari,KoussÃ©ri
Centre de Soins Palliatifs et de Maladies de Lafe,5.510447,10.391228,West,Mifi,Bafoussam III
Centre de Soins de Santé,3.997702,9.749404,Littoral,Wouri,Douala III
Centre de Vaccinations Internationales de Yaounde,3.870274,11.508231,Centre,Mfoundi,YaoundÃ© II
Centre de dialyse,4.148696,9.237633,South-West,Fako,Buea
Centre de la Mère et de l'Enfant,3.882779,11.51702,Centre,Mfoundi,YaoundÃ© I
Centre de medecine traditionnelle chiniose,7.356818,13.582111,Adamaoua,Vina,NgaoundÃ©rÃ© II
Centre de prévention et de dépistage volontaire du VIH SIDA,9.303009,13.388665,North,Benoue,Garoua I
Centre de sante Integre de Yegassi,3.993712,11.468392,Centre,Lekie,Okala
Centre de sante Medjoh,3.465064,13.462785,East,Haut-Nyong,Mindourou
Centre de sante de Foneta,5.454523,10.071999,West,Menoua,Dschang
Centre de sante de Ngoya I,3.962218,11.452168,Centre,Lekie,Okala
Centre de sante de l'horizon,5.455854,10.443426,West,Koung-Khi,Bafoussam I
Centre de sante et formation Ave Maria de Leboudi I,3.921473,11.445818,Centre,Lekie,Okala
Centre de sante integre (Chantier),4.1348,9.588717,Littoral,Moungo,Dibombari
Centre de sante integre Djaposten (Village Tonkla),3.426821,13.526488,East,Haut-Nyong,Mindourou
Centre de sante integre de Lebot,3.998288,11.412805,Centre,Lekie,Okala
Centre de sante integré de lagdo urbain,9.07335,13.66303,North,Benoue,Lagdo
Centre de sante la charité,2.960172,9.920957,South,Ocean,Kribi II
Centre de sante privé,4.17145,9.598945,Littoral,Moungo,Dibombari
Centre de santé,5.629631,10.184396,West,Bamboutos,Babadjou
Centre de santé,5.186468,10.318274,West,Haut-Nkam,Bandja
Centre de santé,6.567148,10.088371,North-West,Menchum,Zhoa
Centre de santé,4.053787,10.570237,Littoral,Sanaga-Maritime,Massok
Centre de santé Afrimvoe,3.871405,11.469072,Centre,Mfoundi,YaoundÃ© VII
Centre de santé CLAUDINE ECHERNIER,3.907107,11.449094,Centre,Lekie,Okala
Centre de santé Djarengol Kodek,10.624747,14.368192,Far North,Diamare,Maroua III
Centre de santé Fogap,3.839397,11.496127,Centre,Mfoundi,YaoundÃ© III
Centre de santé Freeman,3.788588,12.248561,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé Intégré de Bangang,5.569733,10.165969,West,Bamboutos,Batcham
Centre de santé Intégré de Doualaré,10.622342,14.325108,Far North,Diamare,Maroua II
Centre de santé Intégré de Douggoï,10.607974,14.354777,Far North,Diamare,Maroua III
Centre de santé Intégré de Mebou,5.473531,10.1468,West,Menoua,Nkong-Zem
Centre de santé Intégré de Minta,4.564787,12.822333,Centre,Haute-Sanaga,Minta
Centre de santé Intégré de Thuilekouet,5.556183,10.150138,West,Bamboutos,Batcham
Centre de santé La Foi,3.776364,12.242407,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé La Source,5.50977,10.17927,West,Bamboutos,Nkong-Zem
Centre de santé Libération de Bwadibo,4.092885,9.581884,Littoral,Wouri,Dibombari
Centre de santé Mariama,9.307595,13.876977,North,Benoue,Bibemi
Centre de santé Oyoma-Bang,3.876037,11.4652,Centre,Lekie,YaoundÃ© VII
Centre de santé SIFO,5.445511,10.147473,West,Menoua,Penka-Michel
Centre de santé Saint Augustin,4.143579,9.591468,Littoral,Moungo,Dibombari
Centre de santé Saint Étienne,3.870458,11.479178,Centre,Mfoundi,YaoundÃ© VI
Centre de santé Sainte Dorothée,4.920374,13.291609,East,Lom-Et-Djerem,BÃ©labo
Centre de santé Sainte Katalina,4.911644,13.295262,East,Lom-Et-Djerem,BÃ©labo
Centre de santé Sainte Mission Catholique,3.778987,12.257227,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé Sainte Salomé,3.77122,12.249451,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé catholique Ste Anne,4.91948,13.28839,East,Lom-Et-Djerem,BÃ©labo
Centre de santé catholique de,3.888917,11.517045,Centre,Lekie,YaoundÃ© I
Centre de santé catholique de Bamendou,5.423953,10.158268,West,Menoua,Penka-Michel
Centre de santé communautaire de Mendza,5.477778,10.184643,West,Menoua,Nkong-Zem
Centre de santé communautaire eelc de lagdo,9.065427,13.659375,North,Benoue,Lagdo
Centre de santé d'Abem,3.701626,12.301536,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé d'Akonolinga Urbain,3.779892,12.252496,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé d'adoumri,9.251151,13.766255,North,Benoue,Bibemi
Centre de santé de Batsintchuet,5.535476,10.177561,West,Bamboutos,Batcham
Centre de santé de District de Soa,3.973958,11.592438,Centre,Mefou-et-Afamba,Soa
Centre de santé de Eboa,3.751294,12.234037,Centre,Nyong-et-Mfoumou,Akonolinga
Centre de santé de Famleng Topo,5.39339,10.402543,West,Koung-Khi,Pete-Bandjoun
