name,lat,lon,region,division,subdivision
CMA de Babadjou,5.678025,10.204241,West,Bamboutos,Babadjou
CMA de Mvog-Ada,3.863764,11.527385,Centre,Mfoundi,YaoundÃ© V
CMA de Nkolbisson,3.867779,11.426669,Centre,Lekie,YaoundÃ© VII
CMS Secours Bangou,5.249731,10.395116,West,Hauts-Plateaux,Bangou
CROIX ROUGE CAMEROUNAISE,10.602749,14.31365,Far North,Diamare,Maroua I
CSI,9.311319,13.868395,North,Benoue,Bibemi
CSI Ad Lucem Bangou Ville,5.250026,10.400971,West,Hauts-Plateaux,Bangou
CSI Banza,5.520598,10.144711,West,Menoua,Nkong-Zem
CSI DE KOBOSSI,9.982888,13.307626,North,Mayo-Louti,BaschÃ©o
CSI DE MAYO DOUMSSI,9.589098,13.241054,North,Benoue,Gachiga
CSI DE MAYO OULO,9.967941,13.612285,North,Mayo-Louti,Mayo-Oulo
CSI DE MBAILAINDE (PNDP),7.794948,15.444063,North,Mayo-Rey,Touboro
CSI DE ZONE RECARSEMENT,9.086679,13.777471,North,Benoue,Bibemi
CSI PRIVEE,7.76604,15.352648,North,Mayo-Rey,Touboro
CSI centre de santè Balafotio,5.594672,10.188892,West,Bamboutos,Batcham
CSI de Balefock,5.391405,10.131351,West,Menoua,Penka-Michel
CSI de Bamendou II,5.418128,10.160968,West,Menoua,Penka-Michel
CSI de Bamendou chefferie,5.459444,10.195725,West,Menoua,Penka-Michel
CSI de Batoula,5.400663,10.162591,West,Menoua,Penka-Michel
CSI de Boumdjere,7.315207,13.586865,Adamaoua,Vina,NgaoundÃ©rÃ© I
CSI de Fossong Wencheng,5.406231,9.971392,West,Menoua,Dschang
CSI de Koagoh,5.484471,10.209031,West,Menoua,Penka-Michel
CSI de Lainde massa,9.091482,13.469454,North,Benoue,Ngong
CSI de Leo,5.455096,10.170409,West,Menoua,Nkong-Zem
CSI de Mayel Poli,9.882934,13.859507,North,Mayo-Louti,Guider
CSI de Mbang,9.900089,13.301854,North,Benoue,BaschÃ©o
CSI de Mbébé,4.161262,11.015971,Littoral,Sanaga-Maritime,Nguibassal
CSI de Metchou,5.437057,10.21561,West,Menoua,Penka-Michel
CSI de Tang,5.451495,10.147904,West,Menoua,Nkong-Zem
CSPI Bamboué,5.586719,10.139847,West,Bamboutos,Batcham
CYFO,3.810509,11.540026,Centre,Mfoundi,YaoundÃ© IV
Cabienet de soin communautaire MARVA,10.593299,14.333357,Far North,Diamare,Maroua I
Cabinet,3.892264,11.512593,Centre,Lekie,YaoundÃ© I
Cabinet Biomédical Adonaï,4.018593,9.79755,Littoral,Wouri,Douala III
Cabinet De Dépistage,3.898184,11.538714,Centre,Mefou-et-Afamba,YaoundÃ© V
Cabinet De Soin Au Coeur Uni,3.895589,11.455927,Centre,Lekie,YaoundÃ© VII
Cabinet De Soins,3.852874,11.502793,Centre,Mfoundi,YaoundÃ© III
Cabinet De Soins BUCCODENTAIRE,3.808917,11.529584,Centre,Mfoundi,YaoundÃ© IV
Cabinet De Soins De Santé - A C S A S,3.9081,11.56843,Centre,Mefou-et-Afamba,YaoundÃ© V
"Cabinet De Soins Espoir,santé & Vie",3.921095,11.53968,Centre,Lekie,YaoundÃ© V
Cabinet De Soins Jehovat Jiré,3.894478,11.541111,Centre,Mefou-et-Afamba,YaoundÃ© V
Cabinet De Soins La Main Saine,3.845079,11.45175,Centre,Mfoundi,YaoundÃ© VII
Cabinet De Soins Le Bien Être,9.337745,13.404085,North,Benoue,Garoua II
Cabinet De Soins Les Béatitudes,2.913753,11.164932,South,Mvila,Ebolowa II
Cabinet De Soins Père Et Fils,3.852226,11.500935,Centre,Mfoundi,YaoundÃ© III
Cabinet De Soins Solidarite,9.315348,13.406707,North,Benoue,Garoua II
Cabinet Dentaire,4.053654,9.704638,Littoral,Wouri,Douala I
Cabinet Dentaire,3.87919,11.524452,Centre,Mfoundi,YaoundÃ© I
Cabinet Dentaire,3.877767,11.546095,Centre,Mfoundi,YaoundÃ© V
Cabinet Dentaire,2.920039,11.145508,South,Mvila,Ebolowa II
Cabinet Dentaire,3.837301,11.541949,Centre,Mfoundi,YaoundÃ© IV
Cabinet Dentaire EPC,3.882067,11.522812,Centre,Mfoundi,YaoundÃ© I
Cabinet Dentaire Effila Ebe,3.880567,11.518267,Centre,Mfoundi,YaoundÃ© I
Cabinet Dentaire MaSulamite,3.87244,11.53218,Centre,Mfoundi,YaoundÃ© V
Cabinet Dentaire The Queen,3.880574,11.538872,Centre,Mfoundi,YaoundÃ© V
Cabinet Des Soins Le Bien Etre,7.323818,13.589829,Adamaoua,Vina,NgaoundÃ©rÃ© II
Cabinet Dr Tokam,3.892773,11.518588,Centre,Lekie,YaoundÃ© I
Cabinet Medical,4.04766,9.697387,Littoral,Wouri,Douala I
Cabinet Medical La Patience,7.318274,13.583269,Adamaoua,Vina,NgaoundÃ©rÃ© II
Cabinet Medical La Rose,3.97954,11.600594,Centre,Mefou-et-Afamba,Soa
Cabinet Medical Luceole,3.885446,11.471451,Centre,Lekie,YaoundÃ© VII
Cabinet Medical Luceole,3.88549,11.471511,Centre,Lekie,YaoundÃ© VII
Cabinet Médical,4.047909,9.701018,Littoral,Wouri,Douala I
Cabinet Médical,4.053573,9.699116,Littoral,Wouri,Douala I
Cabinet Médical,4.053582,9.700304,Littoral,Wouri,Douala I
Cabinet Médical,4.054259,9.701489,Littoral,Wouri,Douala I
Cabinet Médical,3.874004,11.522853,Centre,Mfoundi,YaoundÃ© I
Cabinet Médical,3.877307,11.525023,Centre,Mfoundi,YaoundÃ© I
Cabinet Médical Chinois Accupunture-Massage,4.073094,9.677832,Littoral,Wouri,Douala IV
Cabinet Médical Dilma,3.883133,11.538677,Centre,Mfoundi,YaoundÃ© V
Cabinet Médical Ebana Mballa,3.805834,11.521014,Centre,Mfoundi,YaoundÃ© IV
Cabinet Médical Lion KING Sarl,2.929971,11.151649,South,Mvila,Ebolowa II
Cabinet Médical du Centre,3.882667,11.515922,Centre,Mfoundi,YaoundÃ© I
Cabinet Médicale saint Chrétien plus,3.842895,11.477357,Centre,Mfoundi,YaoundÃ© VI
Cabinet Médico Sanitaire - La Voix Du Seigneur M'appelle,3.930591,11.554899,Centre,Mefou-et-Afamba,YaoundÃ© V
Cabinet Vétérinaire De La Benoue,9.319181,13.406038,North,Benoue,Garoua II
Cabinet d'optique medicale de Maroua,10.594405,14.321168,Far North,Diamare,Maroua I
Cabinet de Médecine Chinoise,3.817174,11.53058,Centre,Mfoundi,YaoundÃ© IV
Cabinet de Soin l'Etoile,5.476146,10.41094,West,Mifi,Bafoussam I
Cabinet de Soins,3.775868,11.483835,Centre,Mfoundi,YaoundÃ© III
Cabinet de Soins Agapé,5.45662,10.435918,West,Koung-Khi,Bafoussam I
Cabinet de Soins Belle Idée,5.481136,10.430817,West,Mifi,Bafoussam I
Cabinet de Soins Médicaux,4.037415,9.718681,Littoral,Wouri,Douala II
Cabinet de Soins Médicaux l'Expérience,4.079055,9.790159,Littoral,Wouri,Douala V
Cabinet de Soins Saint Raphael,3.95102,11.52425,Centre,Lekie,YaoundÃ© I
Cabinet de Soins Santa Teresa,3.889556,11.563828,Centre,Mefou-et-Afamba,YaoundÃ© V
Cabinet de Soins la Prudence,5.458763,10.438353,West,Koung-Khi,Bafoussam I
Cabinet de Soins les Beatitudes,5.482312,10.452151,West,Mifi,Bafoussam I
"Cabinet de kinésiethérapie ""santé éspoir""",3.843034,11.477508,Centre,Mfoundi,YaoundÃ© VI
Cabinet de soin chez Mr DANIM SALMAN,10.592928,14.331955,Far North,Diamare,Maroua I
Cabinet de soins ALKARIM,10.604256,14.368477,Far North,Diamare,Maroua III
Cabinet de soins CINSOL,3.832401,11.48589,Centre,Mfoundi,YaoundÃ© VI
Cabinet de soins Marie Gorethie,4.671401,12.374984,Centre,Haute-Sanaga,Nanga-Eboko
Cabinet de soins ORL (Oto-Rhino-Laryngologie),3.832856,11.484758,Centre,Mfoundi,YaoundÃ© VI
Cabinet de soins bon secours plus,3.852349,11.479164,Centre,Mfoundi,YaoundÃ© VI
Cabinet de soins de SA'A,4.364945,11.437958,Centre,Lekie,Sa'a
Cabinet de soins de l'humanité,3.838598,11.46285,Centre,Mfoundi,YaoundÃ© VI
"Cabinet de soins le ""Bien Etre""",9.341052,13.413411,North,Benoue,Garoua II
Cabinet des Soins,3.840906,11.550313,Centre,Mfoundi,YaoundÃ© IV
Cabinet des Soins Grace Divine,4.752192,11.237968,Centre,Mbam-et-Inoubou,Bafia
Cabinet des soins des professionnels sans frontiéres,3.85253,11.478145,Centre,Mfoundi,YaoundÃ© VI
Cabinet medical chinois,4.071937,9.663568,Littoral,Wouri,Douala IV
Cabinet medical du sahel,10.594677,14.323256,Far North,Diamare,Maroua I
Cabinet medical la vision,3.849626,11.481727,Centre,Mfoundi,YaoundÃ© VI
Cabinet médical Dr TIMMA,3.833612,11.484201,Centre,Mfoundi,YaoundÃ© VI
Cabinets De Soins Teffeu,3.876983,11.474545,Centre,Lekie,YaoundÃ© VII
Camdiagnostic,3.860079,11.504995,Centre,Mfoundi,YaoundÃ© III
Camp Yeyap 2,3.869839,11.502893,Centre,Mfoundi,YaoundÃ© VI
Caninet Dentaire Malcom X,3.860307,11.521272,Centre,Mfoundi,YaoundÃ© III
Cap Santé. Centre Medico-chirurgical,3.880021,11.539057,Centre,Mfoundi,YaoundÃ© V
Capha Vet Sarl Pharmacie Vétérinaires,3.886439,11.53424,Centre,Mfoundi,YaoundÃ© V
Capha Vet Sarl Pharmacie Vétérinaires,3.886491,11.53424,Centre,Mfoundi,YaoundÃ© V
Cardiologie,10.611953,14.354375,Far North,Diamare,Maroua III
Casesco,3.888988,11.534734,Centre,Mefou-et-Afamba,YaoundÃ© V
Catholic Health Center,4.055944,9.2285,South-West,Fako,LimbÃ© I
Cemrio,3.886919,11.537092,Centre,Mefou-et-Afamba,YaoundÃ© V
Cenre de santé intégré d'Elig-Zogo,4.372469,11.429429,Centre,Lekie,Sa'a
Centee De Santé God's Will,3.920644,11.540711,Centre,Lekie,YaoundÃ© V
Centr de Sante Integre de Banaye,9.464958,13.507924,North,Benoue,Pitoa
Centr de Sante Integre de Pene,9.585286,13.621536,North,Benoue,Pitoa
Centr de Sante Integre de Poussane,9.583411,13.511273,North,Benoue,Pitoa
Centr de Sante Integre de Tchollaram,9.549922,13.56382,North,Benoue,Pitoa
Centr de Sante Integre de Tinguelin;Centre De Santé De Tinguelin,9.396252,13.381001,North,Benoue,Garoua II
Central Medical de Nkol Poblo,4.076516,11.209715,Centre,Lekie,Okala
Centre Afro Asiatique,9.30759,13.354283,North,Benoue,Garoua I
Centre Catholique Notre Dame de la Santé Servantes de Marie,5.442451,10.090545,West,Menoua,Dschang
Centre De Naturopathe,3.873933,11.464988,Centre,Lekie,YaoundÃ© VII
Centre De Recherche Sur Les Filarioses Et Autres Maladies Tropicales,3.880055,11.536651,Centre,Mfoundi,YaoundÃ© V
Centre De Rehabilitation Des Deficients Visuel,9.307354,13.388272,North,Benoue,Garoua I
Centre De Sante Integre Prive De Burkina,7.307362,13.600126,Adamaoua,Vina,NgaoundÃ©rÃ© I
Centre De Sante La Gloire De Dieu,3.880388,11.555465,Centre,Mfoundi,YaoundÃ© V
Centre De Sante La Paix,3.891591,11.558462,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Sante La Reference,3.887821,11.558238,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Sante Providence,3.89859,11.561707,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Apsad,3.899587,11.566447,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé Communautaire De Ngousso,3.896976,11.539268,Centre,Mefou-et-Afamba,YaoundÃ© V
Centre De Santé De Garoua 1,9.304953,13.389624,North,Benoue,Garoua I
Centre De Santé De Lowel,9.275878,13.372594,North,Benoue,Garoua I
